prabhag_no,,area_index,population_index,slum_area_index,slum_hh_index,structure_index,,anganwadi_index,school_index,primary_health_center_index,nagari_suvidha_kendra_index,virangula_kendra_index,gym_index,garden_index,night_shelter_index,public_amenities_index,,paved_roads_index,usable_footpath_index,strom_water_drainage_index,road_index,,societies_drainage_connection_index,slums_drainage_connection_index,chawls_drainage_connection_index,community_toilet_index,public_toilet_index,final_sanitation_index,,door_to_door_garbage_collection_index,gate_to_gate_garbage_collection_index,waste_collection_index,informal_waste_collection_points_index,final_solid_waste_management_index,,street_lights_index,sustainable_street_lights_index,final_electricity_index,,prabhag_index,,option_1_[1-(prabhag_index)],option_1_allocation_in_cr_rs,,profile_index,1-(profile_index),infrastructure_service_index,1-(infrastructure_service_index),,option_2_60%_of_total_allocation_in_cr_rs,option_2_40%_of_total_allocation_in_cr_rs,option_2_total_allocation,,option_3_80%_of_total_allocation_in_cr_rs,option_3_20%_of_total_allocation_in_cr_rs,option_3_total_allocation
1,,0.00,0.21,0.93,0.94,0.67,,0.00,1.00,0.02,0,0.25,0.00,0.5,0,0.41,,1.00,0.19,0.17,0.60,,1.00,0.88,0.90,0.14,0.00,0.72,,0.98,0.39,0.92,0.72,0.79,,0.11,0.44,0.32,,0.61,,0.39,1.60,,0.67,0.33,0.59,0.41,,1.84,0.58,2.42,,2.46,0.29,2.75
2,,0.62,0.60,0.97,1.00,0.82,,0.00,0.23,0.02,0,0.25,0.17,0.2,0,0.15,,1.00,0.25,0.33,0.62,,0.83,0.88,0.96,0.00,0.01,0.69,,0.93,0.80,0.81,0.66,0.81,,0.10,0.49,0.35,,0.62,,0.38,1.54,,0.82,0.18,0.58,0.42,,1.02,0.61,1.62,,1.35,0.30,1.66
3,,0.81,0.60,0.87,0.89,0.80,,0.00,0.08,0.00,0.5,0,0.00,0,0,0.18,,1.00,0.14,0.05,0.58,,0.83,0.88,0.93,0.19,0.01,0.69,,0.89,0.10,0.81,0.55,0.67,,0.07,0.61,0.43,,0.59,,0.41,1.66,,0.80,0.20,0.54,0.46,,1.11,0.65,1.76,,1.48,0.33,1.80
4,,0.90,0.87,0.61,0.74,0.79,,0.38,0.15,0.00,0,0.25,0.33,0.3,0,0.23,,1.00,0.44,0.55,0.71,,0.83,0.98,0.95,0.00,0.00,0.71,,0.98,1.00,0.81,0.66,0.87,,0.00,0.93,0.66,,0.69,,0.31,1.25,,0.79,0.21,0.67,0.33,,1.18,0.47,1.65,,1.57,0.23,1.81
5,,0.70,0.63,0.73,0.84,0.73,,0.33,0.15,0.04,0,0,0.00,0.1,0,0.14,,1.00,0.61,0.60,0.76,,1.00,0.88,0.39,0.37,0.16,0.65,,0.36,0.35,0.96,0.62,0.62,,0.18,0.92,0.66,,0.63,,0.37,1.52,,0.73,0.27,0.61,0.39,,1.51,0.56,2.07,,2.01,0.28,2.29
6,,0.93,0.87,0.57,0.91,0.83,,0.19,0.31,0.04,0,0,0.00,0.2,0,0.15,,0.15,0.90,0.03,0.53,,1.00,1.00,1.00,0.37,0.68,0.85,,0.44,0.00,0.69,0.45,0.47,,0.29,0.57,0.45,,0.60,,0.40,1.65,,0.83,0.17,0.54,0.46,,0.94,0.66,1.61,,1.26,0.33,1.59
7,,0.75,0.94,0.68,0.78,0.79,,0.24,0.23,0.00,0,0,0.00,0,0,0.12,,1.00,0.38,0.90,0.81,,1.00,1.00,1.00,0.19,0.35,0.79,,0.64,0.00,0.82,0.86,0.68,,0.34,0.08,0.25,,0.64,,0.36,1.48,,0.79,0.21,0.60,0.40,,1.16,0.57,1.73,,1.54,0.28,1.83
8,,0.80,0.84,0.91,0.90,0.86,,0.00,0.15,0.02,0,0.5,0.33,0.2,0,0.23,,1.00,0.00,0.80,0.74,,1.00,1.00,1.00,0.12,0.37,0.79,,0.44,0.00,0.81,0.72,0.58,,0.26,0.32,0.29,,0.63,,0.37,1.50,,0.86,0.14,0.58,0.42,,0.76,0.61,1.37,,1.01,0.30,1.32
9,,0.29,0.61,1.00,0.99,0.78,,0.00,0.23,0.00,0,0.25,0.17,0.1,0,0.14,,0.99,0.40,0.48,0.68,,0.50,0.88,0.95,0.03,0.01,0.62,,0.71,0.00,0.88,0.41,0.61,,0.12,0.30,0.23,,0.56,,0.44,1.79,,0.78,0.22,0.51,0.49,,1.24,0.71,1.95,,1.65,0.35,2.01
10,,0.34,0.87,0.91,0.99,0.82,,0.05,0.15,0.02,0,0.5,0.50,0.1,0,0.26,,1.00,0.19,0.80,0.75,,1.00,0.88,0.80,0.00,0.05,0.69,,0.71,0.00,0.81,0.66,0.63,,0.31,0.38,0.35,,0.62,,0.38,1.56,,0.82,0.18,0.57,0.43,,1.01,0.62,1.62,,1.34,0.31,1.65
