prabhag_no,anganwadi,school,primary_health_center,nagari_suvidha_kendra,virangula_kendra,gym,garden,night_shelter,,value_for_anganwadi_index,max_value,min_value,anganwadi_index,value_for_school_index,max_value,min_value,school_index,value_for_primary_health_center_index,max_value,min_value,primary_health_center_index,value_for_nagari_suvidha_kendra_index,max_value,min_value,nagari_suvidha_kendra_index,value_for_virangula_kendra_index,max_value,min_value,virangula_kendra_index,value_for_gym_index,max_value,min_value,gym_index,value_for_garden_index,max_value,min_value,garden_index,value_for_night_shelter_index,max_value,min_value,night_shelter_index,public_amenities_index
1,0,13,1,0,1,0,5,0,,0,21,0,0.00,13,13,0,1.00,1,52,0,0.02,0,2,0,0,1,4,0,0.25,0,6,0,0.00,5,10,0,0.5,0,2,0,0,0.41
2,0,3,1,0,1,1,2,0,,0,21,0,0.00,3,13,0,0.23,1,52,0,0.02,0,2,0,0,1,4,0,0.25,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.15
3,0,1,0,1,0,0,0,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.18
4,8,2,0,0,1,2,3,0,,8,21,0,0.38,2,13,0,0.15,0,52,0,0.00,0,2,0,0,1,4,0,0.25,2,6,0,0.33,3,10,0,0.3,0,2,0,0,0.23
5,7,2,2,0,0,0,1,0,,7,21,0,0.33,2,13,0,0.15,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.14
6,4,4,2,0,0,0,2,0,,4,21,0,0.19,4,13,0,0.31,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.15
7,5,3,0,0,0,0,0,0,,5,21,0,0.24,3,13,0,0.23,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.12
8,0,2,1,0,2,2,2,0,,0,21,0,0.00,2,13,0,0.15,1,52,0,0.02,0,2,0,0,2,4,0,0.5,2,6,0,0.33,2,10,0,0.2,0,2,0,0,0.23
9,0,3,0,0,1,1,1,0,,0,21,0,0.00,3,13,0,0.23,0,52,0,0.00,0,2,0,0,1,4,0,0.25,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.14
10,1,2,1,0,2,3,1,0,,1,21,0,0.05,2,13,0,0.15,1,52,0,0.02,0,2,0,0,2,4,0,0.5,3,6,0,0.50,1,10,0,0.1,0,2,0,0,0.26
11,0,2,0,1,0,0,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.21
12,0,2,0,0,0,2,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,0,4,0,0,2,6,0,0.33,3,10,0,0.3,0,2,0,0,0.17
13,6,3,1,0,2,3,2,0,,6,21,0,0.29,3,13,0,0.23,1,52,0,0.02,0,2,0,0,2,4,0,0.5,3,6,0,0.50,2,10,0,0.2,0,2,0,0,0.29
14,7,4,2,0,4,6,1,2,,7,21,0,0.33,4,13,0,0.31,2,52,0,0.04,0,2,0,0,4,4,0,1,6,6,0,1.00,1,10,0,0.1,2,2,0,1,0.63
15,3,7,0,0,0,1,1,0,,3,21,0,0.14,7,13,0,0.54,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.21
16,6,3,1,0,2,3,2,0,,6,21,0,0.29,3,13,0,0.23,1,52,0,0.02,0,2,0,0,2,4,0,0.5,3,6,0,0.50,2,10,0,0.2,0,2,0,0,0.29
17,0,2,2,0,0,2,1,0,,0,21,0,0.00,2,13,0,0.15,2,52,0,0.04,0,2,0,0,0,4,0,0,2,6,0,0.33,1,10,0,0.1,0,2,0,0,0.14
18,1,1,0,0,0,0,1,0,,1,21,0,0.05,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.05
19,0,2,0,0,1,0,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,1,4,0,0.25,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.15
20,2,3,2,0,0,1,2,0,,2,21,0,0.10,3,13,0,0.23,2,52,0,0.04,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.13
21,7,5,1,1,1,0,6,0,,7,21,0,0.33,5,13,0,0.38,1,52,0,0.02,1,2,0,0.5,1,4,0,0.25,0,6,0,0.00,6,10,0,0.6,0,2,0,0,0.34
22,21,0,1,1,0,1,1,0,,21,21,0,1.00,0,13,0,0.00,1,52,0,0.02,1,2,0,0.5,0,4,0,0,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.40
