prabhag_no,%_of_hh_with_underground_drainage_connection_in_society_data,%_hh_with_underground_drainage_connection_in_slums_data,%_of_hh_with_underground_drainage_connection_in_chawls_and_gaothan_data,number_of_community_toilet_seats,number_of_free_public_toilet_seats_for_female,number_of_paid_public_toilet_seats_for_male,number_of_paid_public_toilet_seats_for_female,number_of_urinals_for_male,number_of_residents_not_covered_with_toilet_seats,,%_of_hh_with_underground_drainage_connection_in_societies,%_of_hh_with_underground_drainage_connection_in_slums,%_of_hh_with_underground_drainage_connection_in_chawl_and_gaothan,number_of_residents_not_covered_with_toilet_seats,number_of_community_toilet_seats_required= (number of hh without toilet seats*5(family size)/Std for community toilets (e.g. 1 for 40 people),number_of_functioning_community_toilet_seats_available/number_of_community_toilet_seats_required,total_length_of_roads_in_prabhag _in_km,number_of_functioning_public_toilet_seats,number_of_functioning_toilet_seats_required=total_road_length_in_prabhag,number_of_functioning _public_toilet_seats/number_of_public_toilet_seats_required,,societies_drainage_connection_value,max_value,min_value,societies_drainage_connection_index,slums_drainage_connection_value,max_value,min_value,slums_drainage_connection_index,chawls_drainage_connection_value,max_value,min_value,chawls_drainage_connection_index,value_of_available_community_toilets_against_required_community_toilets,max_value,min_value,community_toilet_index,value_of_available_public_toilets_against_required_public_toilets,max_value,min_value,public_toilet_index,final_sanitation_index
1,100,90,90,81,8,0,0,2,0.1,,100.00,90.00,90.00,0.10,0.00,32400.00,100.53,8.00,100.53,0.08,,100.00,100.00,70.00,1.00,90.00,100.00,20.00,0.88,90.00,100.00,1.00,0.90,32400.00,227600.00,0.00,0.14,0.08,101.33,0.00,0.00,0.72
2,95,90,96,30,16,14,16,0,103,,95.00,90.00,96.00,103.00,2.58,11.65,60.00,46.00,60.00,0.77,,95.00,100.00,70.00,0.83,90.00,100.00,20.00,0.88,96.00,100.00,1.00,0.96,11.65,227600.00,0.00,0.00,0.77,101.33,0.00,0.01,0.69
3,95,90,93,107,27,0,0,2,0.1,,95.00,90.00,93.00,0.10,0.00,42800.00,50.00,27.00,50.00,0.54,,95.00,100.00,70.00,0.83,90.00,100.00,20.00,0.88,93.00,100.00,1.00,0.93,42800.00,227600.00,0.00,0.19,0.54,101.33,0.00,0.01,0.69
4,95,98,95,20,3,16,4,4,5,,95.00,98.00,95.00,5.00,0.13,160.00,68.00,23.00,68.00,0.34,,95.00,100.00,70.00,0.83,98.00,100.00,20.00,0.98,95.00,100.00,1.00,0.95,160.00,227600.00,0.00,0.00,0.34,101.33,0.00,0.00,0.71
5,100,90,40,208,79,63,49,15,0.1,,100.00,90.00,40.00,0.10,0.00,83200.00,11.49,191.00,11.49,16.62,,100.00,100.00,70.00,1.00,90.00,100.00,20.00,0.88,40.00,100.00,1.00,0.39,83200.00,227600.00,0.00,0.37,16.62,101.33,0.00,0.16,0.65
6,100,100,100,212,94,237,21,30,0.1,,100.00,100.00,100.00,0.10,0.00,84800.00,5.10,352.00,5.10,69.02,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,84800.00,227600.00,0.00,0.37,69.02,101.33,0.00,0.68,0.85
7,100,100,100,107,64,208,187,22,0.1,,100.00,100.00,100.00,0.10,0.00,42800.00,13.00,459.00,13.00,35.31,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,42800.00,227600.00,0.00,0.19,35.31,101.33,0.00,0.35,0.79
8,100,100,100,67,34,223,118,5,0.1,,100.00,100.00,100.00,0.10,0.00,26800.00,10.00,375.00,10.00,37.50,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,26800.00,227600.00,0.00,0.12,37.50,101.33,0.00,0.37,0.79
9,85,90,95,18,9,20,10,10,0.1,,85.00,90.00,95.00,0.10,0.00,7200.00,37.20,39.00,37.20,1.05,,85.00,100.00,70.00,0.50,90.00,100.00,20.00,0.88,95.00,100.00,1.00,0.95,7200.00,227600.00,0.00,0.03,1.05,101.33,0.00,0.01,0.62
10,100,90,80,17,8,82,41,2,10,,100.00,90.00,80.00,10.00,0.25,68.00,27.00,131.00,27.00,4.85,,100.00,100.00,70.00,1.00,90.00,100.00,20.00,0.88,80.00,100.00,1.00,0.80,68.00,227600.00,0.00,0.00,4.85,101.33,0.00,0.05,0.69
