prabhag_no,number_of_poles,%_of_led_bulbs,%_of_bulbs_connected_to_renewable_sources,,total_length_of_roads_in_prabhag,number_of_street_light_poles,number_of_street_light_poles_required _1_for_every_15m,number_of_street_light_poles/number_of_street_light_poles_required,number_of_street_light_poles_connected_to_renewable_sources/led,%_of_street_light_poles_connected_to_renewable_sources/led,,value_of_street_lights_against_required,max_value,min_value,street_lights_index,value_for_sustainable_street_lights,max_value,min_value,sustainable_street_lights_index,final_electricity_index
1,5470,1995,10,,100.53,5470,6702,0.80,2005,36.65,,0.82,6.14,0.13,0.11,36.65,82.46,0.00,0.44,0.32
2,2859,0.4,0,,60,2859,4000,0.70,1144,40.00,,0.71,6.14,0.13,0.10,40.00,82.46,0.00,0.49,0.35
3,1834,0.5,0,,50,1834,3333,0.60,917,50.00,,0.55,6.14,0.13,0.07,50.00,82.46,0.00,0.61,0.43
4,609,0.6,100,,68,609,4533,0.10,465,76.42,,0.13,6.14,0.13,0.00,76.42,82.46,0.00,0.93,0.66
7,1030,779,0,,13,1030,867,1.20,779,75.63,,1.20,6.14,0.13,0.18,75.63,82.46,0.00,0.92,0.66
8,1241,582,0,,10,1241,667,1.90,582,46.90,,1.90,6.14,0.13,0.29,46.90,82.46,0.00,0.57,0.45
9,5530,380,0,,37.02,5530,2468,2.20,380,6.87,,2.20,6.14,0.13,0.34,6.87,82.46,0.00,0.08,0.25
10,3009,790,0,,27,3009,1800,1.70,790,26.25,,1.70,6.14,0.13,0.26,26.25,82.46,0.00,0.32,0.29
12,1740,349,85,,30,1740,2000,0.90,434,24.94,,0.87,6.14,0.13,0.12,24.94,82.46,0.00,0.30,0.23
16,1672,520,0,,12.5,1672,833,2.00,520,31.10,,2.01,6.14,0.13,0.31,31.10,82.46,0.00,0.38,0.35
17,1333,0.4,0,,40,1333,2667,0.50,533.2,40.00,,0.50,6.14,0.13,0.06,40.00,82.46,0.00,0.49,0.35
18,2057,0.8,0,,42.5,2057,2833,0.70,1645.6,80.00,,0.73,6.14,0.13,0.10,80.00,82.46,0.00,0.97,0.69
19,1999,0.4,150,,38,1999,2533,0.80,949.6,47.50,,0.79,6.14,0.13,0.11,47.50,82.46,0.00,0.58,0.41
30,2058,0.03,0,,27.149,2058,1810,1.10,62,3.00,,1.14,6.14,0.13,0.17,3.00,82.46,0.00,0.04,0.12
31,2040,0.18,0,,25.96,2040,1731,1.20,367,18.00,,1.18,6.14,0.13,0.17,18.00,82.46,0.00,0.22,0.20
32,1141,0.21,0,,17.86,1141,1191,1.00,240,21.00,,0.96,6.14,0.13,0.14,21.00,82.46,0.00,0.25,0.20
35,1768,0.14,0,,29.55,1768,1970,0.90,248,14.00,,0.90,6.14,0.13,0.13,14.00,82.46,0.00,0.17,0.15
36,1837,890,0,,30,1837,2000,0.90,890,48.45,,0.90,6.14,0.13,0.13,48.45,82.46,0.00,0.59,0.43
37,867,0.7008,0,,9,867,600,1.40,608,70.08,,1.40,6.14,0.13,0.21,70.08,82.46,0.00,0.85,0.62
38,690,0.6641,0,,15,690,1000,0.70,458,66.41,,0.70,6.14,0.13,0.09,66.41,82.46,0.00,0.81,0.57
39,557,399,0,,5.485,557,366,1.50,399,71.63,,1.50,6.14,0.13,0.23,71.63,82.46,0.00,0.87,0.63
41,1005,0.0073,0,,14.99,1005,999,1.00,7,0.73,,1.01,6.14,0.13,0.14,0.73,82.46,0.00,0.01,0.10
42,1585,0.5526,0,,64,1585,4267,0.40,876,55.26,,0.37,6.14,0.13,0.04,55.26,82.46,0.00,0.67,0.47
43,1915,0.352,0,,70,1915,4667,0.40,674,35.20,,0.41,6.14,0.13,0.05,35.20,82.46,0.00,0.43,0.30
44,1527,0.4558,0,,90,1527,6000,0.30,696,45.58,,0.25,6.14,0.13,0.02,45.58,82.46,0.00,0.55,0.39
45,3085,0.0425,0,,126,3085,8400,0.40,131,4.25,,0.37,6.14,0.13,0.04,4.25,82.46,0.00,0.05,0.05
46,1121,0.36,0,,24.45,1121,1630,0.70,404,36.00,,0.69,6.14,0.13,0.09,36.00,82.46,0.00,0.44,0.32
47,845,273,0,,4.8,845,320,2.60,273,32.31,,2.64,6.14,0.13,0.42,32.31,82.46,0.00,0.39,0.40
