prabhag_no,door_to_door_collection_percentage,gate_to_gate_collection_percentage,total_waste_collected_in_tons,total_waste_generated_in_tons,number_of_informal_points_where_solid_waste_gets_accumulated_data,,hh_in_the_prabhag,%_of_hh_covered_under_door_to_door_collection,%_of_hh_under_gate_collection,%_of_waste_collected_against_generated_in_a_prabhag,number_of_informal_points_where_solid_waste_gets_accumulated,,%_of_hh_covered_under_door_to_door_collection,max_value,min_value,door_to_door_garbage_collection_index,%_of_hh_under_gate_collection,max_value,min_value,gate_to_gate_garbage_collection_index,%_of_waste_collected_against_generated_in_a_prabhag,max_value,min_value,waste_collection_index,number_of_informal_points_where_solid_waste_gets_accumulated,max_value,min_value,informal_waste_collection_points_index,final_solid_waste_management_index
1,100,38.86,14,15,8,,,100,38.86,93.33,8,,100.00,101.84,0.00,0.98,38.86,100.00,0.00,0.39,93.33,100.00,20.06,0.92,8.00,0.00,29.00,0.72,0.79
2,95,80,22.64,26.63,10,,,95,80,85.02,10,,95.00,101.84,0.00,0.93,80.00,100.00,0.00,0.80,85.02,100.00,20.06,0.81,10.00,0.00,29.00,0.66,0.81
3,91,10,21.36,25.13,13,,,91,10,85.00,13,,91.00,101.84,0.00,0.89,10.00,100.00,0.00,0.10,85.00,100.00,20.06,0.81,13.00,0.00,29.00,0.55,0.67
4,100,100,9.6,11.3,10,,,100,100,84.96,10,,100.00,101.84,0.00,0.98,100.00,100.00,0.00,1.00,84.96,100.00,20.06,0.81,10.00,0.00,29.00,0.66,0.87
5,36.63,34.66,16,16.5,11,,,36.63,34.66,96.97,11,,36.63,101.84,0.00,0.36,34.66,100.00,0.00,0.35,96.97,100.00,20.06,0.96,11.00,0.00,29.00,0.62,0.62
6,0.45,0.45,9,12,16,,,45.00,0.00,75.00,16,,45.00,101.84,0.00,0.44,0.00,100.00,0.00,0.00,75.00,100.00,20.06,0.69,16.00,0.00,29.00,0.45,0.47
7,0.65,0.65,18,21,4,,,65.00,0.00,85.71,4,,65.00,101.84,0.00,0.64,0.00,100.00,0.00,0.00,85.71,100.00,20.06,0.82,4.00,0.00,29.00,0.86,0.68
8,0.444,0.444,15.4,18.2,8,,,44.40,0.00,84.62,8,,44.40,101.84,0.00,0.44,0.00,100.00,0.00,0.00,84.62,100.00,20.06,0.81,8.00,0.00,29.00,0.72,0.58
9,0.728,0.728,29.5,32.5,17,,,72.80,0.00,90.77,17,,72.80,101.84,0.00,0.71,0.00,100.00,0.00,0.00,90.77,100.00,20.06,0.88,17.00,0.00,29.00,0.41,0.61
10,0.72,0.72,14.5,17.1,10,,,72.00,0.00,84.80,10,,72.00,101.84,0.00,0.71,0.00,100.00,0.00,0.00,84.80,100.00,20.06,0.81,10.00,0.00,29.00,0.66,0.63
11,32.88,19.73,2.1,2.1,6,,,32.88,19.73,100.00,6,,32.88,101.84,0.00,0.32,19.73,100.00,0.00,0.20,100.00,100.00,20.06,1.00,6.00,0.00,29.00,0.79,0.67
12,5885,238,12,20,6,,7660,76.83,3.11,60.00,6,,76.83,101.84,0.00,0.75,3.11,100.00,0.00,0.03,60.00,100.00,20.06,0.50,6.00,0.00,29.00,0.79,0.60
13,52.3,30.32,7.5,21,6,,,52.3,30.32,35.71,6,,52.30,101.84,0.00,0.51,30.32,100.00,0.00,0.30,35.71,100.00,20.06,0.20,6.00,0.00,29.00,0.79,0.51
14,63.4,9.53,13.5,13.5,18,,,63.4,9.53,100.00,18,,63.40,101.84,0.00,0.62,9.53,100.00,0.00,0.10,100.00,100.00,20.06,1.00,18.00,0.00,29.00,0.38,0.62
15,1975,0,10.5,10.5,7,,10190,19.38,0.00,100.00,7,,19.38,101.84,0.00,0.19,0.00,100.00,0.00,0.00,100.00,100.00,20.06,1.00,7.00,0.00,29.00,0.76,0.63
16,40.16,17.93,11,11,8,,,40.16,17.93,100.00,8,,40.16,101.84,0.00,0.39,17.93,100.00,0.00,0.18,100.00,100.00,20.06,1.00,8.00,0.00,29.00,0.72,0.65
17,100,100,14.08,16.57,8,,,100,100,84.97,8,,100.00,101.84,0.00,0.98,100.00,100.00,0.00,1.00,84.97,100.00,20.06,0.81,8.00,0.00,29.00,0.72,0.89
18,85,29,10.96,12.9,5,,,85,29,84.96,5,,85.00,101.84,0.00,0.83,29.00,100.00,0.00,0.29,84.96,100.00,20.06,0.81,5.00,0.00,29.00,0.83,0.73
19,90,100,11.65,13.71,12,,,90,100,84.97,12,,90.00,101.84,0.00,0.88,100.00,100.00,0.00,1.00,84.97,100.00,20.06,0.81,12.00,0.00,29.00,0.59,0.83
20,101.84,2.13,6.5,32.4,0,,,101.84,2.13,20.06,0,,101.84,101.84,0.00,1.00,2.13,100.00,0.00,0.02,20.06,100.00,20.06,0.00,0.00,0.00,29.00,1.00,0.71
21,43.65,46.38,19,21,8,,,43.65,46.38,90.48,8,,43.65,101.84,0.00,0.43,46.38,100.00,0.00,0.46,90.48,100.00,20.06,0.88,8.00,0.00,29.00,0.72,0.65
22,2560,720,7,9,8,,6668,38.39,10.80,77.78,8,,38.39,101.84,0.00,0.38,10.80,100.00,0.00,0.11,77.78,100.00,20.06,0.72,8.00,0.00,29.00,0.72,0.55
23,0,1500,6.23,10.875,7,,8500,0.00,17.65,57.29,7,,0.00,101.84,0.00,0.00,17.65,100.00,0.00,0.18,57.29,100.00,20.06,0.47,7.00,0.00,29.00,0.76,0.45
24,31.87,14.87,15,20,1,,,31.87,14.87,75.00,1,,31.87,101.84,0.00,0.31,14.87,100.00,0.00,0.15,75.00,100.00,20.06,0.69,1.00,0.00,29.00,0.97,0.62
25,5,28.68,16.5,16.5,10,,,5,28.68,100.00,10,,5.00,101.84,0.00,0.05,28.68,100.00,0.00,0.29,100.00,100.00,20.06,1.00,10.00,0.00,29.00,0.66,0.62
26,85,85,12.75,15,6,,,85,85,85.00,6,,85.00,101.84,0.00,0.83,85.00,100.00,0.00,0.85,85.00,100.00,20.06,0.81,6.00,0.00,29.00,0.79,0.82
